"item_id","event_id","product_id","store_id","hide","num_has","num_wants","priority","added_at","descr","buy_request","sku_product_id","num_total","num_user_set"
"962","167","352","0","0","0","2","0","2015-01-05 20:54:08",,"a:6:{s:7:""product"";s:3:""352"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""53"";}s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","347","0","0"
"963","167","208","0","0","1","1","0","2015-01-05 21:04:14",,"a:5:{s:7:""product"";s:3:""208"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","208","1","0"
"964","167","352","0","0","0","2","0","2015-01-05 21:05:08",,"a:6:{s:7:""product"";s:3:""352"";s:8:""form_key"";s:16:""jzfpNtjakXUQEBLl"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""76"";}s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","342","0","0"
"965","143","2937","0","0","0","1","0","2015-01-07 04:11:02",,"a:5:{s:7:""product"";s:4:""2937"";s:8:""form_key"";s:16:""eAl3vQalcQD82QZS"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2937","0","0"
"966","163","3948","0","0","0","1","0","2015-01-08 15:15:49",,"a:5:{s:7:""product"";s:4:""3948"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3948","0","0"
"967","163","3945","0","0","1","1","0","2015-01-08 15:18:07",,"a:6:{s:7:""product"";s:4:""3945"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""82"";i:136;s:2:""11"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3943","1","1"
"968","163","3945","0","0","1","1","0","2015-01-08 15:18:25",,"a:6:{s:7:""product"";s:4:""3945"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:2:{i:92;s:2:""82"";i:136;s:1:""9"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3942","1","1"
"969","163","3947","0","0","1","1","0","2015-01-08 15:18:55",,"a:5:{s:7:""product"";s:4:""3947"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3947","1","1"
"970","163","3946","0","0","0","2","0","2015-01-08 15:19:25",,"a:5:{s:7:""product"";s:4:""3946"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3946","0","0"
"971","163","3949","0","0","16","16","0","2015-01-08 15:21:41",,"a:5:{s:7:""product"";s:4:""3949"";s:8:""form_key"";s:16:""DIXw7MGbBspqqhPC"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:2:""16"";s:9:""gift_next"";s:0:"""";}","3949","16","0"
"972","156","623","0","0","1","1","0","2015-01-08 17:46:07",,"a:5:{s:7:""product"";s:3:""623"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","623","1","1"
"973","156","653","0","0","0","1","0","2015-01-08 17:55:53",,"a:5:{s:7:""product"";s:3:""653"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","653","0","0"
"974","156","616","0","0","1","1","0","2015-01-08 17:57:57",,"a:5:{s:7:""product"";s:3:""616"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","616","1","1"
"975","156","615","0","0","0","1","0","2015-01-08 17:58:37",,"a:5:{s:7:""product"";s:3:""615"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","615","0","0"
"977","156","3946","0","0","1","1","0","2015-01-08 19:23:56",,"a:5:{s:7:""product"";s:4:""3946"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3946","1","0"
"978","156","670","0","0","0","1","0","2015-01-08 20:51:37",,"a:5:{s:7:""product"";s:3:""670"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","670","0","0"
"980","163","3966","0","0","0","12","0","2015-01-08 22:16:44",,"a:6:{s:7:""product"";s:4:""3966"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:3:""496"";}s:3:""qty"";s:2:""12"";s:9:""gift_next"";s:0:"""";}","3968","0","0"
"981","163","3953","0","0","4","16","0","2015-01-08 22:20:25",,"a:6:{s:7:""product"";s:4:""3953"";s:8:""form_key"";s:16:""ArN46eFRNn4Wpw02"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:3:""738"";}s:3:""qty"";s:2:""16"";s:9:""gift_next"";s:0:"""";}","3954","4","4"
"983","163","3971","0","0","2","2","0","2015-01-13 14:55:59",,"a:5:{s:7:""product"";s:4:""3971"";s:8:""form_key"";s:16:""lgWTwqDnk6KhbXHk"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3971","2","0"
"985","156","381","0","0","1","1","0","2015-01-13 16:26:22",,"a:6:{s:7:""product"";s:3:""381"";s:8:""form_key"";s:16:""98eLMbADAYpw5Y6W"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:3:""154"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3972","1","1"
"986","147","3970","0","0","1","2","1","2015-01-13 23:01:20",,"a:5:{s:7:""product"";s:4:""3970"";s:8:""form_key"";s:16:""B7fj63fEDhVKe1gs"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3970","1","1"
"988","147","3917","0","0","7","12","1","2015-01-14 14:51:33",,"a:5:{s:7:""product"";s:4:""3917"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""8"";s:9:""gift_next"";s:0:"""";}","3917","7","7"
